2020-01-1510:18:41 AM - /home/hj/anaconda3/lib/python3.5/site-packages/tensorflow/python/platform/tf_logging.py - INFO: Restoring parameters from ./checkpoints/model_01/PSENet_2020-01-14-17-20-52.ckpt-19750
2020-01-1510:18:43 AM--INFO: ##### Restore model : ./checkpoints/model_01/PSENet_2020-01-14-17-20-52.ckpt-19750  ########
2020-01-1510:18:50 AM--INFO: ############ New Learning_Rate 0.000500 in step 19751  ###########
2020-01-1510:31:22 AM--INFO: ## Epoch 82 Step_Train / Total_Batch: 20580 / 250  train_loss= 0.322537  train_acc= 0.841822
2020-01-1510:31:40 AM--INFO: ## Epoch 82 Step_Train / Total_Batch: 20600 / 250  train_loss= 0.307687  train_acc= 0.860951
2020-01-1510:31:59 AM--INFO: ## Epoch 82 Step_Train / Total_Batch: 20620 / 250  train_loss= 0.334867  train_acc= 0.852274
2020-01-1510:32:17 AM--INFO: ## Epoch 82 Step_Train / Total_Batch: 20640 / 250  train_loss= 0.299835  train_acc= 0.852740
2020-01-1510:32:35 AM--INFO: ## Epoch 82 Step_Train / Total_Batch: 20660 / 250  train_loss= 0.307990  train_acc= 0.850858
2020-01-1510:32:53 AM--INFO: ## Epoch 82 Step_Train / Total_Batch: 20680 / 250  train_loss= 0.316929  train_acc= 0.852136
2020-01-1510:33:10 AM--INFO: ## Epoch 82 Step_Train / Total_Batch: 20700 / 250  train_loss= 0.323067  train_acc= 0.841171
2020-01-1510:33:29 AM--INFO: ## Epoch 82 Step_Train / Total_Batch: 20720 / 250  train_loss= 0.313502  train_acc= 0.852309
2020-01-1510:33:47 AM--INFO: ## Epoch 82 Step_Train / Total_Batch: 20740 / 250  train_loss= 0.296865  train_acc= 0.864621
2020-01-1510:34:05 AM--INFO: ## Epoch 83 Step_Train / Total_Batch: 20760 / 250  train_loss= 0.301839  train_acc= 0.861124
2020-01-1510:34:24 AM--INFO: ## Epoch 83 Step_Train / Total_Batch: 20780 / 250  train_loss= 0.303380  train_acc= 0.859226
2020-01-1510:34:42 AM--INFO: ## Epoch 83 Step_Train / Total_Batch: 20800 / 250  train_loss= 0.296795  train_acc= 0.857313
2020-01-1510:35:00 AM--INFO: ## Epoch 83 Step_Train / Total_Batch: 20820 / 250  train_loss= 0.304795  train_acc= 0.856041
2020-01-1510:35:17 AM--INFO: ## Epoch 83 Step_Train / Total_Batch: 20840 / 250  train_loss= 0.315854  train_acc= 0.855367
2020-01-1510:35:35 AM--INFO: ## Epoch 83 Step_Train / Total_Batch: 20860 / 250  train_loss= 0.307652  train_acc= 0.853062
2020-01-1510:35:52 AM--INFO: ## Epoch 83 Step_Train / Total_Batch: 20880 / 250  train_loss= 0.306969  train_acc= 0.849386
2020-01-1510:36:10 AM--INFO: ## Epoch 83 Step_Train / Total_Batch: 20900 / 250  train_loss= 0.304273  train_acc= 0.859017
2020-01-1510:36:29 AM--INFO: ## Epoch 83 Step_Train / Total_Batch: 20920 / 250  train_loss= 0.304272  train_acc= 0.861381
2020-01-1510:36:47 AM--INFO: ## Epoch 83 Step_Train / Total_Batch: 20940 / 250  train_loss= 0.306006  train_acc= 0.853712
2020-01-1510:37:06 AM--INFO: ## Epoch 83 Step_Train / Total_Batch: 20960 / 250  train_loss= 0.322356  train_acc= 0.822794
2020-01-1510:37:23 AM--INFO: ## Epoch 83 Step_Train / Total_Batch: 20980 / 250  train_loss= 0.303606  train_acc= 0.862381
2020-01-1510:37:42 AM--INFO: ## Epoch 83 Step_Train / Total_Batch: 21000 / 250  train_loss= 0.287218  train_acc= 0.855939
2020-01-1510:38:00 AM--INFO: ## Epoch 84 Step_Train / Total_Batch: 21020 / 250  train_loss= 0.296429  train_acc= 0.859327
2020-01-1510:38:17 AM--INFO: ## Epoch 84 Step_Train / Total_Batch: 21040 / 250  train_loss= 0.296027  train_acc= 0.857801
